[main_menu]|en|fi|pt|ru|zh|ja|ko|de
requires_fishing|Requires Fishing|Vaatii kalastustaidon||||||
extra_space_dlc|Get More Space|Lisätilaa|Más espacio|Получи больше места!|更多空间|より多くの スペース|더 많은 공간|Mehr Stauraum holen
price|Price|Hinta|Preço|Цена|价钱|価格|가격|Preis
price_free|FREE|ILMAINEN|GRATIS|БЕСПЛАТНО|自由|自由|비어 있는|KOSTENLOS
blocked|Blocked|Estetty|Obstruido|заблокировано|受阻|ブロックされました|막힌|Blockiert
miss|Miss|Huti|Evitar|промах|避免|避ける|기피|Verfehlt
immune|Immune|Immuuni|Inmune|Иммунитет|免疫的|免疫|면역|Immun
negated|Negated|Mitätöity|Negada|нейтрализовано|否定|否定|부정|Negiert
accept|Accept|Hyväksy|Aceptar|Принять|接受|受け入れます|수락|Akzeptieren
decline|Decline|Kieltäydy|Negar|Отказаться|垃圾|ごみ|폐물|Verweigern
disconnected|Disconnected|Yhteys katkaistu|Desconectada|Отключен|断开|切断|분리|Getrennt
version_mismatch|Version mismatch.|Versio ei täsmää.|Incompatibilidade de versão.|Несоответствие версий.|版本不匹配。|バージョンが一致しません。|버전 불일치.|Versionskonflikt.
identification_error|Identification error.|Tunnistamisvirhe.|Erro de identificação.|Ошибка идентификации.|识别错误。|識別エラー。|식별 오류입니다.|Identifikationsfehler.
item_max|MAX|MAX|MAX|МАКС|最大|最大|최고|MAX
item_corrupted|Corrupted|Korruptoitunut|Corrupto|Осквернен|腐败的|形無し|손상된|Verdorben
login_connection_error|Connection failed.|Yhteys epäonnistui.|Falha na conexão.|Не удалось установить соединение.|连接失败。|接続に失敗しました。|연결에 실패.|Verbindung fehlgeschlagen.
login_internet_error|No Internet connection.|Ei Internet-yhteyttä.|Sem conexão à Internet.|Нет соединения с Интернетом.|没有网络连接。|いいえ、インターネット接続されていません。|인터넷에 연결되지 않음.|Keine Internetverbindung.
login_validation_error|VALIDATION ERROR|TARKISTUSVIRHE|ERRO DE VALIDAÇÃO|ОШИБКА ВЕРИФИКАЦИИ|验证错误|検証エラー|유효성 검사 오류|VALIDIERUNGSFEHLER
login_account_error|ACCOUNT ERROR|TILIVIRHE|ERRO DE CONTA|ОШИБКА АККАУНТА|帐号错误|アカウントエラー|계정 오류|KONTOFEHLER
found_mystery_hat|Found a Mystery Hat!|Löysit Mysteerihatun!|Encontrei um chapéu misterioso!|Вы нашли Таинственную Шляпу!|发现神秘的帽子！|謎の帽子を見つけました！|신비의 모자를 발견!|Einen geheimen Hut gefunden!
server_connection_failed|Server connection failed.|Palvelinyhteys epäonnistui.|Falha na conexão do servidor.|Не удается подключиться к серверу.|服务器连接失败。|サーバーの接続に失敗しました。|서버 연결에 실패했습니다.|Server-Verbindung fehlgeschlagen.
server_shutting_down|Server shutting down soon|Palvelin suljetaan pian|Servidor desligado em breve|Сервер скоро отключат|服务器即将关闭|サーバーすぐにシャットダウン|서버 곧 종료|Server fährt bald herunter
server_no_response|No response from server.|Ei vastausta palvelimelta.|Sem resposta do servidor.|Сервер не отвечает.|从服务器无响应。|サーバーからの応答がありません。|서버에서 응답이 없습니다.|Keine Antwort vom Server.
server_kicked|Kicked from the server.|Potkittu palvelimelta.|Chutado do servidor.|Выгнан с сервера.|从服务器踢。|サーバから蹴りました。|서버에서 추방.|vom Server gekickt.
server_not_unlocked|Difficulty not unlocked!|Vaikeusaste ei ole avattuna!|Dificuldade não desbloqueado!|Сложность не разблокирована!|难度不解锁！|難易度のロックを解除していません！|어려움은 없습니다 잠금을 해제!|Schwierigkeitsgrad nicht freigeschaltet!
server_full|Server is full.|Palvelin on täynnä.|Servidor está cheio.|Сервер полный.|服务器已满。|サーバーがいっぱいです。|서버가 가득 찼습니다.|Server ist voll.
server_password|Enter password:|Kirjoita salasana:|Digite a senha:|Введите пароль:|输入密码：|パスワードを入力する：|암호를 입력:|Passwort eingeben:
multiplayer_disabled|Online multiplayer is currently disabled.|Moninpeli ei ole käytössä tällä hetkellä.|O modo multijogador online está desativado no momento.|Онлайн режим временно недоступен.|目前在线多人被禁用。|オンラインマルチプレイヤー は 現在 無効 に なって います。|온라인 멀티는 현재 사용할 수 없습니다.|Online-Multiplayer ist derzeit deaktiviert.
new_version|There is a new version available.|Uusi versio on saatavilla.|Existe uma nova versão disponível.|Доступна новая версия игры.|有可用的新版本。|利用可能な新しいバージョンがあります。|사용할 수있는 새로운 버전이 있습니다.|Eine neue Spielversion ist verfügbar.
update_game|Update your game.|Päivitä pelisi.|Atualize seu jogo.|Обновите игру, пожалуйста.|更新您的游戏。|あなたのゲームを更新します。|게임을 업데이트합니다.|Aktualisiere dein Spiel.
account_disabled|Your account has been disabled.|Tilisi on poistettu käytöstä.|Sua conta foi desativada.|Ваш аккаунт отключен.|您的帐户已禁用。|あなたのアカウントが無効になっています。|계정이 비활성화되었습니다.|Dein Konto wurde deaktiviert.
reason|Reason|Syy|Razón|Причина|原因|理由|이유|Grund
logged_in_elsewhere|Your account has logged in elsewhere.|Tilisi on kirjautunut muualla.|Sua conta fez login em outro lugar.|Был осуществлен вход в ваш аккаунт на другом устройстве.|您的帐户登录其它地方。|あなたのアカウントは別の場所でログインしています。|계정이 다른 곳에서 로그인 한.|Auf ihr Konto wurde von woanders zugegriffen.
support_120hz|Please make sure your setup supports 120Hz to avoid performance issues.|Varmista, että laitteistosi tukee 120Hz välttääksesi suorituskykyongelmia.|Asegúrese de que su configuración de soportes de 120 Hz para evitar problemas de rendimiento.|Пожалуйста, убедитесь, что ваша система поддерживает частоту 120hz, чтоб избежать проблем с производительностью.|确保您的安装程序支持的120Hz，以避免出现性能问题。|パフォーマンスの問題を避けるために、 必ずセットアップのサポートの 120Hzのを確認します。|성능 문제를 방지하기 위해 반드시 셋업 지원의 120Hz를 확인합니다.|Um Leistungsprobleme zu vermeiden, stellen Sie sicher das ihr Computer 120 Hz unterstützt.
support_144hz|Please make sure your setup supports 144Hz to avoid performance issues.|Varmista, että laitteistosi tukee 144Hz välttääksesi suorituskykyongelmia.|Asegúrese de que su configuración de soportes de 144 Hz para evitar problemas de rendimiento.|Пожалуйста, убедитесь, что ваша система поддерживает частоту 144hz, чтоб избежать проблем с производительностью.|确保您的安装程序支持的144Hz，以避免出现性能问题。|パフォーマンスの問題を避けるために、 必ずセットアップのサポートの 144Hzのを確認します。|성능 문제를 방지하기 위해 반드시 셋업 지원의 144Hz를 확인합니다.|Um Leistungsprobleme zu vermeiden, stellen Sie sicher das ihr Computer 144 Hz unterstützt.
privacy_policy|Privacy Policy|Tietosuojakäytäntö|Política de privacidad|Политика конфиденциальности|隐私政策|個人情報保護方針|개인 정보 정책|Datenschutz-Bestimmungen
privacy_policy_msg1|We have updated our Privacy Policy.|Olemme päivittäneet tietosuojakäytäntömme.|Atualizamos nossa Política de Privacidade.|Мы обновили нашу Политику конфиденциальности.|我们已经更新了我们的隐私政策。|プライバシーポリシーを更新しました。|개인 정보 보호 정책이 업데이트되었습니다.|Wir haben unsere Datenschutzrichtlinien aktualisiert.
privacy_policy_msg2|Please review and accept the changes to continue|Tarkista muutokset ja hyväksy ne jatkaaksesi|Revise e aceite as alterações para continuar|Пожалуйста, просмотрите и примите изменения, чтобы продолжить|请查看并接受更改以继续|続行するには、変更を確認して同意してください|계속하려면 변경 사항을 검토하고 동의하십시오|Bitte überprüfen und akzeptieren Sie die Änderungen, um fortzufahren
privacy_policy_agree|I have read and agree both the EULA and the Privacy Policy.|Olen lukenut ja hyväksyn EULA:n ja tietosuojakäytännön.|He leído y acepto la política de privacidad.|Я прочитал и согласен с Политикой конфиденциальности.|我已阅读并同意隐私政策。|私が読んおよびプライバシーポリシーに同意しています。|본인은 개인 정보 보호 정책에 동의합니다.|Ich habe die Datenschutzerklärung gelesen und bin damit einverstanden.
privacy_policy_must_agree|EULA and Privacy Policy must be agreed to register.|Rekisteröityminen vaatii EULA:n ja tietosuojakäytännön hyväksymisen.|Política de Privacidade deve ser acordado para se registrar.|Для регистрации необходимо согласиться с Политикой конфиденциальности.|隐私政策必须同意注册。|プライバシーポリシーは、登録することで合意しなければなりません。|개인 정보 보호 정책 등록하기로 동의해야합니다.|Der Datenschutzerklärung muss für die Registrierung zugestimmt werden.
privacy_policy_ok|Ok, I accept.|Ok, hyväksyn.|Ok, eu aceito.|Да, я согласен.|好吧，我接受。|承知しました。|알겠습니다|Okay, ich stimme zu.
privacy_policy_not_ok|No, I don't accept.|Ei, en hyväksy.|Não, eu não aceito.|Нет, я не согласен.|不，我不接受。|いいえ、同意しません。|아니요, 동의하지 않습니다.|Nein, ich stimme nicht zu.
privacy_policy_i_agree|I agree|Hyväksyn|Eu aceito|Я согласен.|我接受|承諾します|동의 함|Ich stimme zu
wormhole_error|Error loading wormhole.|Virhe ladatessa madonreikää.|Error agujero de gusano de carga.|Ошибка при загрузке Червоточины.|错误加载虫洞。|読み込みエラーワームホール。|오류로드 웜홀.|Fehler beim Laden des Wurmloches.
wormhole_disabled|Season wormholes are currently disabled.|Kauden madonreiät eivät ole käytössä.|agujeros de gusano temporada están desactivadas.|Червоточины в Сезонных режимах временно отключены.|目前季节虫洞被禁用。|シーズンワームホールは現在無効になっています。|시즌 웜홀은 현재 비활성화됩니다.|Saison Wurmlöcher sind zur Zeit deaktiviert.
wormhole_awarded|You have been awarded 1 Wormhole Level!|Olet ansainnut yhden Madonreiän tason!|Você recebeu 1 nível de buraco de minhoca!|Вы получили 1 уровень червоточины!|您已赢得1虫洞等级！|ワームホールレベル1を獲得しました！|웜홀 레벨 1을 획득했습니다!|Du hast 1 Wurmlochlevel erhalten!
unstable_rift_waves|Unstable Rift Waves:|Epävakaa Repeämä Aallot:|Ondas de Fenda Instáveis:|Нестабильный Разлом, Волны:|不稳定的裂谷波：|不安定なリフト波：|불안정한 균열 파:|Instabile Risswellen:
unstable_rift_cleared|Unstable Rift Cleared|Epävakaa Repeämä Läpäisty|Fenda instável limpa|Нестабильный Разлом зачищен|不稳定的裂痕被清除|不安定なリフトをクリア|불안정한 균열 제거|Instabiler Riss beseitigt
legacy|Legacy|Vanha|Legado|Наследие|遗产|レガシー|유산|Erbe
event|Event|Tapahtuma|Evento|Событие|事件|イベント|행사|Veranstaltung
player_two_press|Player 2 press|Pelaaja 2 paina|Jogador 2, pressione|Игрок 2, нажмите|玩家 2 按|プレイヤー2 プレス|플레이어 2 프레스|Spieler 2 drücke
player_two_join|to join.|liittyäksesi peliin.|para participar.|чтобы присоединиться.|加入游戏。|ゲームに参加する。|게임에 참여합니다.|um beizutreten.
guild_invite|Invite to guild|Kutsu kiltaan|Convite|Пригласить|邀请|招待する|초대|Gildeneinladung
guild_promote|Guild Promote|Ylennä|Promover|Повысить|促进|プロモート|홍보|Beförderung
guild_demote|Guild Demote|Alenna|Rebaixar|Понизить|降级|降格|강등|Degradieren
guild_remove|Guild Remove|Poista|Retirar|Убрать|去掉|削除する|없애다|Entfernen
guild_rep|Guild Reputation|Kilta Maine|Reputação Aliança|Репутация Гильдии|公会声望|ギルドの評判|길드 평판|Gildenruf
friendly|Friendly|Ystävällinen|Amigáveis|Дружелюбный|友好|優しいです|친한|Freundlich
honored|Honored|Kunnioitettu|Honrado|Уважаемый|荣幸|表彰|수상|Wohlwollend
revered|Revered|Arvostettu|Reverenciado|Достопочтенный|崇敬|尊敬|존경|Respektvoll
exalted|Exalted|Ylistetty|Exaltado|Великий|崇高的|誇らしいです|고귀한|Ehrfürchtig
no_players_found|No players found|Pelaajia ei löytynyt|Nenhum jogador encontrado|Игроки не найдены|找不到任何玩家|選手見つかりません|어떤 선수를 찾을 수 없습니다|Keine Spieler gefunden
error|Error|Virhe|Erro|Ошибка|错误|エラー|오류|Fehler
warning|Warning|Varoitus|Warning|Warning|Warning|Warning|Warning|Warnung
lost_connection|Lost connection|Yhteys katkennut|Conexão perdida|Соединение потеряно|失去了连接|接続が切れました|분실 연결|Verbindung verloren
in_different_zone|is in a different zone!|on eri alueella!|está em uma zona diferente!|находится в другой зоне!|在不同的区域！|別のゾーンにあります！|다른 영역에!|ist in einer anderen Zone!
sell_prompt|Are you sure you want to sell?|Haluatko varmasti myydä?|Tem certeza de que quer vender?|Вы уверены, что хотите продать?|你确定你想卖？|あなたが販売したいですか？|당신은 당신이 판매 하시겠습니까?|Sind Sie sicher, die Sie dies verkaufen möchten?
sell_all_prompt|Are you sure you want to sell all items in this category?|Haluatko varmasti myydä kaikki kategorian ensineet?|Tem certeza de que quer vender todos os itens nesta categoria?|Вы уверены, что хотите продать все предметы в этой категории?|你确定你想卖这个类别中的所有项目？|あなた は、このカテゴリ内 の すべてのアイテム を 販売 して も よろしいです か？|이 카테고리의 모든 상품을 판매 하시겠습니까?|Sind Sie sicher, dass Sie alle Gegenstände in dieser Kategorie verkaufen wollen?
angelic_upgrade_prompt|Are you sure you want to upgrade this item?|Haluatko varmasti päivittää tämän esineen?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Are you sure you want to upgrade this item?|Sind Sie sich sicher, dass Sie diesen Gegenstand aufrüsten wollen?
attempts_remaining|Attempts remaining:|Yrityksiä jäljellä:|Tentativas restantes:|Осталось попыток:|其余的尝试：|残りの試み：|나머지 시도:|Verbleibende Versuche:
minute|Minute|Minuutti|minuto|Минута|分钟|分|분|Minute
minutes|Minutes|Minuuttia|Minutos|Минут|分钟|分|의사록|Minuten
insert_coin|Insert Coin!|Syötä Kolikko!|Insira Moeda!|Вставьте Монету!|投币！|コインを挿入！|동전을 넣으세요!|Münze Einwerfen!
dig_treasure|Dig for David's treasure!|Kaiva Davidin aarre esiin!|Cavar para o tesouro de David!|Откопай сокровище Давида!|挖掘大卫的宝藏！|デビッドの宝物を探してください！|다윗의 보물을 파헤쳐 라!|Grabe nach Davids Schatz!
dig|Dig|Kaiva|Dig|Dig|Dig|Dig|Dig|Graben
whisper|Whisper|Kuiskaa|Sussurro|Личное сообщение|耳语|ささやき|속삭임|Flüstern
msg_cant_connect_global|Can't connect to the chat server.|Ei voitu yhdistää chat-palvelimeen.|Não foi possível conectar ao servidor de bate-papo.|Не удается подключиться к серверу чата.|无法连接到聊天服务器。|チャットサーバーに接続できません。|채팅 서버에 연결할 수 없습니다.|Es kann keine Verbindung zum Chat-Server hergestellt werden.
msg_cant_connect_guild|Can't connect to guild chat server.|Ei voitu yhdistää killan chat-palvelimeen.|Não é possível ligar para guild servidor de chat.|Не удается подключиться к серверу чата гильдии.|无法连接到公会聊天服务器。|ギルドチャットサーバーに接続できません。|채팅 서버 길드에 연결할 수 없습니다.|Es kann keine Verbindung zum Gildenchat-Server hergestellt werden.
msg_welcome|Welcome to Hero Siege global chat!|Tervetuloa Hero Siegen globaaliin chattiin!|Bem-vindo ao chat global do Hero Siege!|Добро пожаловать в общий чат Hero Siege!|欢迎来到英雄围攻全球聊天室！|Hero Siegeグローバルチャットへようこそ！|Hero Siege 글로벌 채팅에 오신 것을 환영합니다!|Willkommen im globalen Chat von Hero Siege!
msg_help|Type /help for commands.|Näytä komennot kirjoittamalla /help|Digite /help para comandos.|Для просмотра списка доступных команд введите /help|输入 /help 作为命令。|コマンドの場合は /help と入力します。|명령에 /help 를 입력하십시오.|Geben Sie /help für eine Befehlsliste ein.
msg_time|Time|Aika|Tempo|Время|时间|時間|시각|Zeit
msg_date|Date|Päivämäärä|Encontro|Дата|日期|日付|데이트|Datum
msg_parental_control|Parental control is enabled. Communication is not allowed for this user on this device.|Lapsilukko on käytössä. Tämän käyttäjän viestintä ei ole sallittu.|O controle dos pais está ativado. A comunicação não é permitida para este usuário neste dispositivo.|Родительский Контроль включен. Для этого пользователя связь на этом устройстве запрещена.|家长控制已启用。 不允许该用户在此设备上进行通信。|保護者による使用制限が有効になっています。 このユーザーはこのデバイスで通信できません。|자녀 보호 기능이 활성화되었습니다. 이 기기에서이 사용자에 대한 통신이 허용되지 않습니다.|Die Kindersicherung ist aktiviert. Für diesen Benutzer ist auf diesem Gerät keine Kommunikation zulässig.
msg_spam|Too many messages. Wait [time] seconds.|Liian monta viestiä. Odota [time] sekuntia.|Muitas mensagens. Aguarde [time] segundos.|Слишком много сообщений. Подождите [time] секунд.|太多的消息。等待[time]秒。|あまりにも多くのメッセージ。 [time]秒待ちます。|너무 많은 메시지. [time] 초 정도 기다립니다.|Zu viele Nachrichten. [time] Sekunden warten.
msg_not_in_guild|You are not in a guild.|Et kuulu kiltaan.|Você não está em uma aliança.|Вы не в гильдии.|你是不是在一个公会。|あなたはギルドではありません。|당신은 길드에 있지 않습니다.|Sie befinden sich nicht in einer Gilde.
msg_status_low|Your guild status is too low.|Asemasi killassa on liian matala.|Seu status de alianças é muito baixo.|Ваш статус в гильдии недостаточно высок.|你的公会的地位太低。|あなたのギルドステータスが低すぎます。|길드 상태가 너무 낮습니다.|Ihr Gilden Status ist zu niedrig.
msg_playername|player name|pelaajan nimi|nome do jogador|имя игрока|选手姓名|プレーヤの名前|선수 이름|spielername
msg_message|message|viesti|mensagem|сообщение|信息|メッセージ|메시지|botschaft
msg_whisper|to whisper|kuiskataksesi|sussurar|написать личное сообщение|说悄悄话|ささやく|속삭임에|flüstern
msg_reply|to reply to a whisper|vastataksesi kuiskaukseen|para responder a um sussurro|ответить на личное сообщение|回复耳语|ささやきに返信します|속삭임의 질문에 답변|einem flüstern antworten
msg_game_invite|to send a game invite|lähettäksesi kutsun peliin|para enviar um convite de jogo|отправить приглашение в игру|发送游戏邀请|ゲームの招待状を送信するには|게임 초대를 보내려면|um eine Spieleinladung zu senden
msg_guild_invite|to send a guild invite|lähettäksesi kutsun kiltaan|para enviar uma aliança convidá|отправить приглашение в гильдию|发送公会邀请|ギルド招待送信します|길드 초대 보내|eine Gildeneinladung zu senden
msg_mute|to mute a player|mykistääksesi pelaajan|para silenciar um jogador|заглушить игрока|静音玩家|プレイヤーをミュートします|플레이어를 음소거|einen Spieler stummzuschalten
msg_unmute|to unmute a player|poistaaksesi pelaajan mykistyksen|para remover mudo do jogador|снять заглушение|删除玩家的静音|プレイヤーのミュートを削除します|플레이어의 음소거를 제거|einen Spieler entstummen
msg_promoted|You have been promoted!|Sinut on ylennetty!|Você foi promovido!|Вас повысили!|你已被提升为！|あなたが推進されています！|당신은 승진되었다!|Sie wurden befördert!
msg_demoted|You have been demoted.|Sinut on alennettu|Você foi rebaixado.|Вас понизили.|你被降职。|あなたは降格されています。|당신은 강등되었다.|Sie wurden degradiert.
msg_removed|You have been removed from the guild.|Sinut on poistettu killasta.|Você foi removido da aliança.|Вы были исключены из гильдии.|你已经从公会中移除。|あなたはギルドから削除されました。|당신은 길드에서 제거되었습니다.|Sie wurden aus der Gilde entfernt.
msg_voted_reset|Voted for reset|Äänesti uudelleenaloitusta|Votou para reset|Проголосовал за обновление локаций.|投票复位|リセットに投票|리셋 투표|hat für einen Reset gestimmt.
msg_removed_vote|Removed their reset vote.|Poisti äänestyksensä.|Removido o voto de redefinição.|Отозвал голос за обновление локаций.|删除了他们的重置投票。|リセット投票を削除しました。|재설정 투표를 삭제했습니다.|hat ihre Stimme für den Reset zurückgezogen.
msg_invited|has invited you to join game|kutsui sinut peliin|convidou você para participar do jogo|пригласил вас присоединиться к игре|邀请您加入游戏|ゲームに招待されました|게임에 초대했습니다|hat dich zum Spiel eingeladen
msg_joined|joined!|liittyi!|juntou!|присоединился!|加入！|参加しました！|합류했습니다!|hat den Raum betreten!
msg_left|left!|poistui!|desaparecido!|покинул!|不见了！|消えた！|사라졌다!|ist verschwunden!
msg_died|died!|kuoli!|morreu!|умер!|死了！|死亡しました！|사망 한!|ist gestorben!
msg_grave|The final resting place:|Viimeinen lepopaikka:|O local de descanso final:|Место упокоения:|最后的安息之地：|最後の休憩所：|마지막 휴식 장소 :|Die letzte Ruhestätte:
gaben_event|Gaben walks the earth...|Gaben kävelee joukossamme...|Gaben caminha sobre a Terra...|Габен ходит по Земле...|Gaben走地球...|Gabenは地球を歩きます...|Gaben는 지구를 산책...|Gaben geht die Erde...
ping_timeout|Ping timeout.|Ping-aikakatkaisu.|Tempo limite de ping.|Ping timeout. Превышено ожидание.|Ping超时。|Pingタイムアウト。|핑 타임 아웃.|Ping-Zeitüberschreitung.
revive|Revive|Elvytä|Reviver|Возродить|复活|復活|소생|Wiederbeleben
respawn|Respawn|Herää henkiin|Respawn|Respawn|Respawn|Respawn|Respawn|Respawnen
magic_rubies|Magic Rubies|Taikarubiinit|Rubis Mágicas|Волшебные Рубины|魔法红宝石|魔法のルビー|마법 루비|Magische Rubine
black_market|Black Market|Musta Pörssi|Mercado Negro|Черный Рынок|黑市|ブラックマーケット|암시장|Schwarzmarkt
mystery_hat_equip|You just looted a Mystery Hat, would you like to equip it?|Keräsit Mysteerihatun, haluatko pukea sen?|Você só saquearam um chapéu Mistério, que gostaria de equipá-lo?|Вы только что нашли Таинственную Шляпу, хотите ее надеть?|你只是一个洗劫神秘的帽子， 你想装备呢？|あなただけのミステリー帽子を略奪、 あなたがそれを装備したいと思いますか？|당신은 당신이 그것을 장착하고 싶습니다 신비 모자를 약탈?|Sie haben einen mysteriösen Hut gefunden, möchten Sie ihn aufsetzen?
color_picker_current|Current Color|Nykyinen Väri|Cor Atual|Текущий Цвет|当前颜色|現在の色|현재의 색|Aktuelle Farbe
altar_um|Um's Altar|Umin Alttari|Altar de Um|Алтарь Ума|恩祭坛|ウムの祭壇|음 제단|Ums Altar
quest_take_one|Take one!|Ota yksi!|Pegue um!|Выбери один!|拿一个！|一つを取って！|하나를 수행합니다!|Wähle einen!
quest_choose|Choose wisely!|Valitse viisaasti!|Escolha sabiamente!|Выбирай с умом!|做出明智的选择！|賢く選択してください！|현명하게 선택해!|Wähl Klug!
prompt_name_empty|The name field cannot be empty!|Nimi-kenttä ei voi olla tyhjä!|O campo do nome não pode estar vazio!|Поле имени не может быть пустым!|名称字段不能为空！|名前フィールドは空にできません！|이름 필드는 비워 둘 수 없습니다!|Das Namensfeld darf nicht leer sein!
prompt_delete_guild|Are you sure you want to delete this guild?|Haluatko varmasti poistaa tämän killan?|Tem certeza de que deseja excluir esta aliança?|Вы уверены, что хотите удалить эту гильдию?|你确定要删除这个公会？|あなたはこのギルドを削除してもよろしいですか？|이 길드를 삭제 하시겠습니까?|Sind Sie sicher, dass Sie diese Gilde löschen möchten?
prompt_black_market_buy|Are you sure you want to buy?|Haluatko varmasti ostaa?|Tem certeza de que quer comprar?|Вы уверены, что хотите купить?|你确定你要购买？|あなたが購入してもよろしいですか？|당신은 당신이 구매 하시겠습니까?|Sind Sie sich sicher, dass Sie dies kaufen möchten?
page|Page|Sivu|Página|Страница|页|ページ|페이지|Seite
minion_resurrect|Resurrect Mercenary|Henkiinherätä palkkasoturi||||||
minion_discharge|Discharge Mercenary|Vapauta palkkasoturi||||||
minion_discharge_confirm|Are you sure you want to discharge your mercenary?|Haluatko varmasti vapauttaa palkkasoturisi?||||||
minion_use|Use Mercenary|Käytä palkkasoturia|Uso de Mercenários|Использовать Наемника|使用雇佣军|傭兵を使用|사용 용병|Söldner Verwernden
minion_buy|Hire Mercenary|Värvää palkkasoturi|Hire Mercenary|Hire Mercenary|Hire Mercenary|Hire Mercenary|Hire Mercenary|Hire Mercenary
minion_melee|Knight|Ritari||||||
minion_ranged|Archer|Jousiampuja||||||
minion_spell|Magister|Taikuri||||||
keyboard_backspace|Backspace|Askelpalautin|Retrocesso|бекспейс|退格|バックスペース|역행 키이|Rücktaste
take_cover|TAKE COVER!|SUOJAUDU!|PROTEJA-SE!|В УКРЫТИЕ !|带套！|カバーを取る！|커버를 받아!|IN DECKUNG!
mystery_chest_hat|Mystery Chest Hat|Mysteeri arkkuhattu|Chapéu Misterioso|Таинственный сундук|神秘胸帽|ミステリーチェストハット|미스터리 가슴 모자|Mysteriöser Truhehut
requires_verification|Requires account verification|Vaatii tilin vahvistamisen|Requer verificação da conta|Требуется верификация аккаунта|需要帐户验证|アカウントの確認が必要|계정 확인이 필요합니다|Erfordert eine Kontobestätigung
requires_steam_item|Requires Steam Item|Vaatii Steam-esineen|Requer Item Steam|Требуется Steam предмет|需要 Steam 物品|Steam アイテムが必要|Steam 아이템 필요|Benötigt Steam-Gegenstand
unavailable|Unavailable|Ei saatavilla|Indisponível|Недоступно|不可用|利用できません|없는|Nicht verfügbar
share_data|Share Gameplay Data|Jaa pelitiedot|Compartilhar dados do jogo|Поделиться игровыми данными|分享游戏数据|ゲームプレイデータの共有|게임 플레이 데이터 공유|Gameplay-Daten teilen
show_border|Show HUD Border|Näytä HUD-reunus|Mostrar borda do HUD|Отображать рамку по краям экрана|显示HUD边框|HUDボーダーを表示|HUD 테두리 표시|HUD-Rand anzeigen
field_of_view|Field of View|Näkökenttä|Campo de visão|Поле зрения|视场|視野|시야|Sichtfeld
joystick_opacity|Joystick Opacity|Joystick läpinäkyvyys|Opacidade do joystick|Прозрачность джойстика|游戏杆不透明度|ジョイスティックの不透明度|조이스틱 불투명도|Joystick-Deckkraft
restore_purchases|Restore Purchases|Palauta ostokset|Restaurar compras|Восстановить Покупки|恢复购买|購入を復元|구매를 복원|Einkäufe wiederherstellen
ascendancy|Ascendancy|Ylemmyys|Ascendência|Превосходство|优势|優勢|승천|Aufstieg
attack_stick|Attack Stick|Hyökkäystatti|Vara de ataque|Стик Атаки|攻击棒|アタックスティック|어택 스틱|Angriffsstick
move_stick|Move Stick|Liiketatti|mova a vara|Стик Передвижения|移动棒|スティックを動かす|스틱 이동|Bewegungsstick
free|Free|Vapaa|Livre|Бесплатно|自由|自由|비어 있는|Frei
magic_mushroom|Magic Mushroom|Taikasieni|Cogumelo Mágico|Волшебный гриб|魔法菇|マジック ・ マッシュルーム|마법 버섯|Magischer Pilz
per|Per|Per|Por|за|每|あたり|당|Pro
inv_merc|Inventory Mercenary|Palkkasoturin reppu|Mercenário de inventário|Инветарь Наемника|库存佣工|インベントリ傭兵|재고 용병|Inventar Söldner
inv_secondary|Inventory Secondary|Toissijainen reppu|Inventário Secundário|Второе Оружие или Щит|二级库存|在庫セカンダリ|재고 보조|Inventar Sekundär
vsync|VSync|Pystytahdistus|VSync|Вертикальная синхронизация|垂直同步|垂直同期|수직 동기|VSync
no_shield|No shield!|Ei kilpeä!|Sem escudo!|Нет щита!|没有盾牌！|シールドなし！|방패가 없습니다!|Kein Schild!
scrap|Scrap|Romuta|Sucatear|Хлам|废料|スクラップ|한조각|Verschrotten
combine|Combine|Yhdistä|Combinar|Скомбинировать|结合|コンバイン|결합시키다|Kombinieren
dual_wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Dual Wield|Beidhändig
soulbound|Herobound|Sankarisidonnainen|Herobound|Herobound|Herobound|Herobound|Herobound|Herobound
||||||||
[Item types]||||||||
item_type_helmet|Helmet|Kypärä|Capacete|Шлем|头盔|ヘルメット|헬멧|Helm
item_type_armor|Armor|Panssari|Armaduras|Нагрудник|盔甲|鎧|갑옷|Rüstung
item_type_boots|Boots|Saappaat|Botas|Ботинки|靴子|ブーツ|부츠|Stiefel
item_type_weapon|Weapon|Ase|Arma|Оружие|武器|武器|무기|Waffe
item_type_gloves|Gloves|Hanskat|Luvas|Перчатки|手套|手袋|장갑|Handschuhe
item_type_amulet|Amulet|Amuletti|Amuleto|Амулет|护身符|お守り|부적|Amulett
item_type_charm|Charm|Taikakalu|Charme|Оберег|魅力|チャーム|매력|Charm
item_type_shield|Shield|Kilpi|Escudo|Щит|屏蔽|シールド|방패|Schild
item_type_ring|Ring|Sormus|Anel|Кольцо|环|リング|반지|Ring
item_type_belt|Belt|Vyö|Cinto|Ремень|带|ベルト|벨트|Gürtel
item_type_potion|Potion|Rohto|Porção|Зелье|剂量|薬|물약|Trank
