[Effect Descriptions]|en|fi|pt|ru|zh|ja|ko|de
effect_off_desc_134|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.|Chance to drop gold when killing an enemy.
effect_off_desc_135|Turn off Set Items|Turn off Set Items|Turn off Set Items|Turn off Set Items|Turn off Set Items|Turn off Set Items|Turn off Set Items|Turn off Set Items
effect_off_desc_136|Every attack deals damage to yourself increasing per level|Every attack deals damage to yourself|Every attack deals damage to yourself|Every attack deals damage to yourself|Every attack deals damage to yourself|Every attack deals damage to yourself|Every attack deals damage to yourself|Every attack deals damage to yourself
effect_off_desc_137|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!|Chance on attack to fill yourself with Seething Energy, increasing attack damage by 25% and launching additional projectiles!
effect_off_desc_138|Chance on attack to create light beams from the Heavens to damage nearby enemies|||||||
||||||||
utility_talent_1|Teleport|Teleportti|Teleporte|Teleport|传送|テレポート|순간이동|Teleport
utility_talent_2|Mana Shield|Mana-kilpi|Escudo de Mana|Mana Shield|法力护盾|マナシールド|마나 쉴드|Mana-Schild
utility_talent_3|Overwhelming Power|Ylivoimainen voima|Poder Esmagador|Overwhelming Power|压倒性的力量|圧倒的なパワー|압도적인 힘|Überwältigende Kraft
utility_talent_4|Soul Spurn|Soul Spurn|Rejeição da Alma|Soul Spurn|灵魂吐露|ソウル・スパーン|소울 스펀|Seele verschmähen
utility_talent_5|Valkyrie|Valkyrie|Valquíria|Valkyrie|瓦尔基里|ヴァルキリー|발키리|Walküre
utility_talent_6|Revelation|Ilmestyskirja|Revelação|Revelation|启示录|ヨハネの黙示録|시현|Offenbarung
utility_talent_7|HouDeanii's Power|HouDeanii's Power|O poder de HouDeanii|HouDeanii's Power|HouDeanii的力量|HouDeaniiのパワー|후디니의 힘|HouDeanii's Leistung
utility_talent_8|Toxic Personality|Myrkyllinen persoonallisuus|Personalidade Tóxica|Toxic Personality|有毒的人格|トキシック・パーソナリティ|독성 인격|Toxische Persönlichkeit
utility_talent_9|Gut's Ruthlesness|Gut's Ruthlesness|Crueldade de Gut|Gut's Ruthlesness|肠道疾病|ガットのルースネス|내장의 무자비함|Gut's Ruthlesness
utility_talent_10|Meteor Crater|Meteoriittikraatteri|Cratera de Meteoros|Meteor Crater|流星陨石坑|流星クレーター|운석 분화구|Meteoritenkrater
utility_talent_11|Grim Bones|||||||
utility_talent_12|Reserved|||||||
utility_talent_13|Reserved|||||||
utility_talent_14|Reserved|||||||
utility_talent_15|Reserved|||||||
utility_talent_16|Reserved|||||||
utility_talent_17|Reserved|||||||
utility_talent_18|Reserved|||||||
||||||||
utility_desc_1|Teleport in the direction of your cursor|Teleportti kursorin suuntaan|Teleporte na direção do seu cursor|Teleport in the direction of your cursor|向你的光标方向传送|能力カーソルの方向にテレポートする|어빌리티: 커서 방향으로 텔레포트합니다.|Teleportieren in die Richtung des Cursors
utility_desc_2|A portion of damage is taken from Mana before Life|Osa vahingosta otetaan Manasta ennen elämää.|Uma parte dos danos é retirada da Mana antes da Vida|A portion of damage is taken from Mana before Life|一部分伤害是在生命之前从法力中获取的|能力です。ライフの前にマナでダメージの一部を受ける|어빌리티: 피해의 일부는 생명력 이전에 마나에서 얻습니다.|Ein Teil des Schadens wird von Mana vor Leben genommen
utility_desc_3|Gives 300-400% max mana as magic damage to next attack. Drains 10% mana a second|Antaa 300-400 % maksimimanasta taikavahinkona seuraavaan hyökkäykseen. Kuluttaa 10% manaa sekunnissa.|Proporciona 300-400% de mana máxima como dano mágico para o próximo ataque. Drena 10% de mana por segundo|Gives 300-400% max mana as magic damage to next attack. Drains 10% mana a second|给予300-400%的最大法力作为下一次攻击的魔法伤害。每秒消耗10%的法力值|アビリティです。次の攻撃に300〜400%の最大マナを魔法ダメージとして与える。1秒間に10%のマナを消費する|어빌리티: 최대 마나의 300~400%를 다음 공격에 마법 피해로 줍니다. 초당 10%의 마나를 소모합니다.|Verleiht 300-400% max. Mana als magischen Schaden für den nächsten Angriff. Entzieht 10 % Mana pro Sekunde
utility_desc_4|Deals AOE damage and 5% of the damage is turned into an absorb shield|5 % vahingosta muuttuu absorboivaksi kilveksi.|Causa dano em área e 5% do dano é convertido em um escudo|Deals aoe damage and 5% of the damage is turned into an absorb shield|造成AOE伤害，5%的伤害会变成吸收护盾|アビリティです。Aoeダメージを与え、そのうち5%を吸収シールドに変える|어빌리티: 광역 피해를 주고 피해의 5%를 보호막으로 전환합니다.|Verursacht Aoe-Schaden und 5% des Schadens werden in einen absorbierenden Schild umgewandelt
utility_desc_5|Summons a clone that copies your spells for a duration|Kutsuu kloonin, joka kopioi loitsusi keston ajaksi.|Convoca um clone que copia seus feitiços por um período de tempo|Summons a clone that copies your spells for a duration|召唤一个克隆体，在一定时间内复制你的法术。|能力自分の呪文をコピーするクローンを召喚する。|어빌리티: 지속 시간 동안 스킬을 카피하는 클론을 소환합니다.|Beschwört einen Klon, der Ihre Zaubersprüche für eine bestimmte Dauer kopiert
utility_desc_6|Summons a large zone dealing AOE damage and increases you and your allies damage reduction by 25%|Lisää sinun ja liittolaistesi vahingonvähennystä 25 %.|Convoca uma grande zona que causa dano em área e aumenta a redução de dano para você e seus aliados em 25%|Summons a large zone dealing aoe damage and increases you and your allies damage reduction by 25%|召唤一个大区域，造成AOE伤害，并使你和你的盟友的伤害减免增加25%。|能力巨大なゾーンを召喚し、自分と味方のダメージ軽減率を25％増加させ、青江ダメージを与える。|어빌리티: 광역 피해를 주는 넓은 구역을 소환하고 자신과 아군의 피해 감소를 25% 증가시킵니다.|Beschwört eine große Zone, die Aoe-Schaden verursacht und Ihre Schadensreduktion und die Ihrer Verbündeten um 25% erhöht
utility_desc_7|Launches elemental bolts that bounce between a few enemies|Laukaisee elementaalipultteja, jotka pomppivat muutaman vihollisen välillä.|Lança raios elementais que quicam entre pouco inimigos|Launches elemental bolts that bounce between a few enemies|发射元素弹，在几个敌人之间弹跳。|数人の敵の間で跳ね返るエレメンタル・ボルトを発射する。|소수의 적 사이를 튕기는 엘리멘탈 볼트를 발사합니다.|Schießt Elementarblitze ab, die zwischen einigen Gegnern hin- und herspringen
utility_desc_8|Emits a trail of noxious poison behind you that causes damage to enemies|Päästää jälkeensä myrkkyä, joka aiheuttaa vahinkoa vihollisille.|Emite um rastro de veneno nocivo atrás de você que causa danos aos inimigos|Emits a trail of noxious poison behind you that causes damage to enemies|在你身后发出一串有毒的毒药，对敌人造成伤害|能力自分の後ろに敵にダメージを与える有害な毒の痕跡を残す。|어빌리티: 후방에 적에게 피해를 주는 유독한 독의 자취를 방출합니다.|Sendet eine Spur von schädlichem Gift hinter sich aus, die Feinden Schaden zufügt
utility_desc_9|The player swings their sword around in a very fast rotation to cut his enemies down|Pelaaja heiluttaa miekkaansa erittäin nopeasti ympäriinsä leikatakseen vihollisiaan.|O jogador balança sua espada ao redor em uma rotação bem rápida para cortar seus inimigos|The player swings their sword around in a very fast rotation to cut his enemies down|玩家以极快的旋转速度挥舞着自己的剑，将敌人砍倒。|能力です。刀を高速回転させて敵を斬る。|어빌리티: 플레이어는 매우 빠른 회전으로 검을 휘둘러 적을 베어냅니다.|Der Spieler schwingt sein Schwert in einer sehr schnellen Rotation herum, um seine Feinde niederzustrecken
utility_desc_10|Spawns a meteor that impacts the ground dealing damage and leaving burning flames to scorch enemies|Synnyttää meteorin, joka iskeytyy maahan aiheuttaen vahinkoa ja jättäen palavia liekkejä polttamaan vihollisia.|Gera um meteoro que impacta no chão dando dano e deixando chamas ardentes para chamuscar inimigos|Spawns a meteor that impacts the ground dealing damage and leaving burning flames to scorch enemies|产生一颗流星，撞击地面造成伤害，并留下燃烧的火焰烧伤敌人。|隕石を発生させ、地面に衝突させてダメージを与え、燃え盛る炎で敵を焦がす。|지면에 충돌하는 유성을 생성하여 피해를 입히고 적에게 불타는 화염을 남깁니다.|Erzeugt einen Meteor, der in den Boden einschlägt, Schaden verursacht und brennende Flammen hinterlässt, die Gegner verbrennen
utility_desc_11|Send a powerful wave of Grimbone's spikes forward!|||||||
utility_desc_12|Reserved|||||||
utility_desc_13|Reserved|||||||
utility_desc_14|Reserved|||||||
utility_desc_15|Reserved|||||||
utility_desc_16|Reserved|||||||
utility_desc_17|Reserved|||||||
utility_desc_18|Reserved|||||||
||||||||
||||||||
||||||||
||||||||
[Defensive Effects]||||||||
effect_def_1|Holy Freeze|Holy Freeze|Congelamento Sagrado|Holy Freeze|神圣的冻结|ホーリーフリーズ|성스러운 동결|Heiliges Einfrieren
effect_def_2|Holy Shock|Pyhä shokki|Choque Sagrado|Holy Shock|神圣的冲击|ホーリーショック|성스러운 충격|Heiliger Schock
effect_def_3|Odin's Fury|Odinin raivo|A Fúria de Odin|Odin's Fury|奥丁的怒火|オーディンの怒り|오딘의 분노|Odins Zorn
effect_def_4|Dragon's Scale|Lohikäärmeen suomu|Escama de Dragão|Dragon's Scale|龙的鳞片|ドラゴンズスケール|용의 비늘|Drachenschuppe
effect_def_5|Giant's Seal|Jättiläishylje|Selo do Gigante|Giant's Seal|巨人的海豹|ジャイアント・シール|거인의 인장|Riesensiegel
effect_def_6|Teleport|Teleportti|Teleporte|Teleport|传送|テレポート|순간 이동|Teleport
effect_def_7|Greed|Ahneus|Ganância|Greed|贪婪|欲張り|탐욕|Gier
effect_def_8|Shockwave|Shockwave|Onda de Choque|Shockwave|冲击波|衝撃波|충격파|Shockwave
effect_def_9|Heal|Paranna|Curar|Heal|痊愈|ヒール|힐|Heilen
effect_def_10|Berserk Rage|Berserkin raivo|Raiva Furiosa|Berserk Rage|狂暴的愤怒|バーサークレイジ|버서크 레이지|Berserkerwut
effect_def_11|Absolute Power|Absoluuttinen valta|Poder Absoluto|Absolute Power|绝对权力|絶対的なパワー|절대 권력|Absolute Macht
effect_def_12|Looks like Elias found this first...|Näyttää siltä, että Elias löysi tämän ensin...|Parece que Elias encontrou isto primeiro...|Looks like Elias found this first...|看起来伊莱亚斯先发现了这个...|イライアスが先に見つけたようだが...。|엘리아스가 먼저 찾은듯...|Sieht aus, als hätte Elias das zuerst gefunden...
effect_def_13|Fleet Footwork|Fleet Footwork|Agilidade nos Pés|Fleet Footwork|舰队的脚步|フリートフットワーク|플릿 풋워크|Flotte Beinarbeit
effect_def_14|Manaflow|Manaflow|Fluxo de Mana|Manaflow|马纳夫罗|マナフロー|마나 플로우|Manaflow
effect_def_15|Hyper Activity|Hyper Activity|Hiperatividade|Hyper Activity|超级活动|ハイパーアクティビティ|과잉행동|Hyperaktivität
effect_def_16|Diarrhea|Ripuli|Diarréia|Diarrhea|腹泻|下痢|설사|Diarrhöe
effect_def_17|Flexing|Joustaminen|Flexão|Flexing|弯曲|フレックス|플렉싱|Biegen
effect_def_18|Spartan Defense|Spartan puolustus|Defesa Espartana|Spartan Defense|斯巴达防御|スパルタンディフェンス|스파르타 디펜스|Spartanische Verteidigung
effect_def_19|Drunken Kung Fu|Humalainen kung fu|Kung Fu Bêbado|Drunken Kung Fu|醉酒的功夫|ドランケンカンフー|취권|Betrunkenes Kung Fu
effect_def_20|Stoneskin|Stoneskin|Pele de Pedra|Stoneskin|石头皮|ストーンスキン|스톤스킨|Steinskin
effect_def_21|Vanish|Katoa|Desaparecer|Vanish|消失|バニッシュ|투명화|Verschwinden
effect_def_22|Crystal Power|Kristallivoima|Poder dos Cristais|Crystal Power|水晶之力|クリスタル・パワー|크리스탈 파워|Kristallkraft
effect_def_23|Chaos Unleashed|Kaaos valloilleen|Caos Desencadeado|Chaos Unleashed|混乱的释放|カオス・アンリーシュド|혼돈 해방|Chaos entfesselt
effect_def_24|Momentary Madness|Hetkellinen hulluus|Loucura Momentânea|Momentary Madness|瞬间的疯狂|一瞬の狂気|순간의 광기|Momentaner Wahnsinn
effect_def_25|Health Recovery|Terveyden palautuminen|Recuperação de Saúde|Health Recovery|健康恢复|健康回復|체력 회복|Gesundheit Genesung
effect_def_26|Speed Boost|Nopeus Boost|Aumento de Velocidade|Speed Boost|速度提升|スピードアップ|스피드 부스트|Geschwindigkeits-Boost
effect_def_27|Mana Recovery|Manan palautus|Recuperação de Mana|Mana Recovery|法力恢复|マナ回復|마나 회복|Mana-Wiederherstellung
effect_def_28|Rejuvenation|Nuorentaminen|Rejuvenescimento|Rejuvenation|恢复活力|リジュベネーション|원기 회복|Verjüngung
effect_def_29|Shielding|Suojaus|Blindagem|Shielding|屏蔽|シールド|보호|Abschirmung
effect_def_30|Cleansing|Puhdistus|Limpeza|Cleansing|洁净|クレンジング|정화|Reinigen
effect_def_31|Endless Wealth|Loputon rikkaus|Riqueza Sem Fim|Endless Wealth|无尽的财富|無限の富|끝없는 부|Unendlicher Reichtum
effect_def_32|The Fragrance of Dark Coffee|Tumman kahvin tuoksu|A Fragrância do Café Preto|The Fragrance of Dark Coffee|黑咖啡的芬芳|濃いコーヒーの香り|다크 커피의 향기|Der Duft von dunklem Kaffee
effect_def_33|Untamed Knowledge|||||||
||||||||
effect_def_desc_1|Nearby enemies are chilled|Lähellä olevat viholliset jäähtyvät|Os inimigos próximos são resfriados|Nearby enemies are chilled|附近的敌人被冻住了|近くの敵が冷たくなる|주변의 적들은 냉각됩니다.|Gegner in der Nähe werden gekühlt
effect_def_desc_2|You channel lightning, shocking enemies every half second and has a long area|Kanavoit salaman, joka järkyttää vihollisia puolen sekunnin välein, ja sillä on pitkä alue...|Você canaliza raios, eletrocutando inimigos a cade meio secundo e tem uma área grande|You channel lightning, shocking enemies every half second and has a long area|你可以引导闪电，每半秒震慑一次敌人，并且有一个长的区域。|半秒ごとに敵にショックを与える稲妻チャンネルと、長いエリアを持つ|번개를 집중하여 0.5초마다 적에게 충격을 주고 넓은 범위를 가집니다.|Sie kanalisieren Blitze, schockieren Gegner jede halbe Sekunde und haben eine große Reichweite
effect_def_desc_3|Release a fearsome warcry, which is powerful enough to knock back enemies and taunt them afterwards|Vapauta pelottava sotahuuto, joka on tarpeeksi voimakas tyrmäämään viholliset ja pilkkaamaan heitä sen jälkeen.|Liberta um temível grito de guerra, que é poderoso o suficiente para empurrar inimigos para trás e provocá-los após|Release a fearsome warcry, which is powerful enough to knock back enemies and taunt them afterwards|释放一个可怕的战吼，其威力足以击退敌人，并在事后嘲弄他们|敵をノックバックさせ、その後に敵を翻弄するほどの威力を持つ、恐るべきウォークライを放つ。|무시무시한 함성을 질러 적들을 밀쳐내고 나중에 도발할 만큼 강력합니다.|Lassen Sie einen furchterregenden Kriegsschrei los, der mächtig genug ist, um Gegner zurückzuschlagen und sie anschließend zu verspotten
effect_def_desc_4|Fix this if it becomes a thing again|Korjaa tämä, jos siitä tulee jälleen asia|Conserte isso se se tornar uma coisa de novo|Fix this if it becomes a thing again|如果它再次成为一种事物，请修复这个问题|また何かあったときのために修正しておきます。|그것이 다시 문제가되면 이것을 수정하세요.|Reparieren Sie dies, wenn es wieder zu einer Sache wird
effect_def_desc_5|Fix this if it becomes a thing again|Korjaa tämä, jos siitä tulee jälleen asia|Conserte isso se se tornar uma coisa de novo|Fix this if it becomes a thing again|如果它再次成为一种事物，请修复这个问题|また何かあったときのために修正しておきます。|그것이 다시 문제가되면 이것을 수정하세요.|Reparieren Sie dies, wenn es wieder zu einer Sache wird
effect_def_desc_6|Teleport in the direction of your cursor|Teleportaatio kursorin suuntaan|Teleporte na direção do seu cursor|Teleport in the direction of your cursor|向你的光标方向传送|カーソルの方向にテレポートする|커서 방향으로 텔레포트합니다.|Teleportieren in die Richtung des Cursors
effect_def_desc_7|Chance for additional gold when taking damage when below 25% hp|||||||
effect_def_desc_8|Your hero channels all their strength into a powerful smash creating a massive shockwave in front of them, damaging and stunning enemies in its path|Sankarisi kanavoi kaikki voimansa voimakkaaseen iskuun luoden massiivisen shokkiaallon eteensä, joka vahingoittaa ja tainnuttaa vihollisia sen tiellä.|Seu herói canaliza toda a sua força em um choque poderoso criando uma onda de choque massiva na sua frente, causando dano e atordoando inimigos em seu caminho|Your hero channels all their strength into a powerful smash creating a massive shockwave in front of them, damaging and stunning enemies in its path|你的英雄将他们所有的力量注入到一个强大的粉碎中，在他们面前形成一个巨大的冲击波，伤害和震撼其路径上的敌人。|あなたのヒーローは、すべての力を強力なスマッシュに注ぎ込み、前方に巨大な衝撃波を発生させ、その経路上の敵にダメージを与え、衝撃を与えます。|영웅은 모든 힘을 강력한 스매쉬로 집중하여 전방에 거대한 충격파를 생성하여 경로에 있는 적에게 피해를 입히고 기절시킵니다.|Ihr Held kanalisiert all seine Kraft in einen mächtigen Schlag, der eine massive Schockwelle vor ihm erzeugt, die Gegner in ihrem Weg beschädigt und betäubt
effect_def_desc_9|Grants 15% Max Health Regeneration per Second on Use|Antaa 15% maksimiterveyden palautumista sekunnissa käytön aikana.|Concede 15% de regeneração máxima de saúde por segundo no uso|Grants 15% Max Health Regeneration per Second on Use|使用时每秒钟给予15%的最大健康再生能力|使用時に毎秒15%の最大ヘルス再生を付与|사용 시 초당 최대 체력 재생이 15% 증가합니다.|Gewährt bei Verwendung 15 % maximale Lebensregeneration pro Sekunde
effect_def_desc_10|Temporarily increases all damage dealt by 20%|Lisää väliaikaisesti kaikkea aiheutettua vahinkoa 20%|Aumenta temporariamente todos os danos causados em 20%.|Temporarily increases all damage dealt by 20%|暂时增加所有伤害的20%。|与える全てのダメージを一時的に20%増加させる。|일시적으로 모든 피해를 20% 증가시킵니다.|Erhöht vorübergehend den gesamten verursachten Schaden um 20 %.
effect_def_desc_11|Temporarily increases all elemental damage by 1000|Lisää tilapäisesti kaikkea elementtivahinkoa 1000:lla.|Aumenta temporariamente todo o dano elemental em 1000|Temporarily increases all elemental damage by 1000|暂时增加所有元素伤害1000|すべてのエレメンタルダメージを一時的に1000増加させる。|일시적으로 모든 원소 피해를 1000 증가시킵니다.|Erhöht vorübergehend alle Elementarschäden um 1000
effect_def_desc_12|Does absolutely nothing, just gives you 6 sockets|Ei tee yhtään mitään, antaa vain 6 pistorasiaa.|Não faz absolutamente nada, apenas lhe dá 6 soquetes|Does absolutely nothing, just gives you 6 sockets|完全没有作用，只是给你6个插座|何の役にも立たず、ただ6つのソケットを提供するだけ。|아무 것도 하지 않고 6개의 소켓만 제공합니다.|Macht absolut nichts, gibt Ihnen nur 6 Steckdosen
effect_def_desc_13|Temporarily provides you with a 50% movement speed buff|Antaa sinulle tilapäisesti 50 %:n liikenopeuden puskurin.|Fornece temporariamente um buff de 50% de velocidade de movimento|Temporarily provides you with a 50% movement speed buff|暂时为你提供50%的移动速度BUFF|一時的に移動速度50%のバフがかかります。|일시적으로 이동 속도 50% 버프를 제공합니다.|Verleiht Ihnen vorübergehend einen 50%igen Bewegungsgeschwindigkeits-Buff
effect_def_desc_14|Replenishes your mana|Täydentää manaasi|Reabastece sua mana|Replenishes your mana|补足你的法力|あなたのマナを補充します。|마나를 보충합니다.|Füllt Ihr Mana wieder auf
effect_def_desc_15|Temporarily provides you with a 50% Attack Speed buff|||||||
effect_def_desc_16|Causes you to throw up. The puke does mild damage|Aiheuttaa oksentelua. Oksennus aiheuttaa lievää vahinkoa|Faz com que você vomite. O vômito causa um dano leve|Causes you to throw up. The puke does mild damage|导致你呕吐。呕吐物会造成轻微伤害|吐いてしまいます。吐いたものは軽いダメージ|토하게 만듭니다. 토는 경미한 피해를 줍니다.|Bewirkt, dass Sie sich übergeben müssen. Das Erbrochene verursacht leichten Schaden
effect_def_desc_17|Temporarily increases your strength by 50%|Lisää tilapäisesti voimaa 50%|Aumenta temporariamente sua força em 50%.|Temporarily increases your strength by 50%|暂时增加你50%的力量|一時的に自分の体力が50％アップ|일시적으로 체력이 50% 증가합니다.|Erhöht vorübergehend Ihre Stärke um 50 %.
effect_def_desc_18|Temporarily increases dodge and block by 15%|Lisää väliaikaisesti väistämistä ja torjuntaa 15 %:lla.|Aumenta temporariamente a evasão e o bloqueio em 15%.|Temporarily increases dodge and block by 15%|暂时增加15%的闪避和格挡|一時的にドッジとブロックが15%増加します。|일시적으로 회피와 블럭이 15% 증가합니다.|Erhöht vorübergehend Ausweichen und Blocken um 15 %.
effect_def_desc_19|Temporarily grants you an additional 35% critical damage|Antaa sinulle tilapäisesti 35 % lisää kriittistä vahinkoa.|Concede temporariamente a você 35% de dano crítico adicional|Temporarily grants you an additional 35% critical damage|暂时给予你额外的35%关键伤害|一時的に追加で35%のクリティカルダメージを与える。|일시적으로 35%의 추가 크리티컬 데미지를 줍니다.|Gewährt Ihnen vorübergehend zusätzlich 35% kritischen Schaden
effect_def_desc_20|Temporarily increases your armor by 50%|Lisää tilapäisesti panssariasi 50 %:lla|Aumenta temporariamente sua armadura em 50%.|Temporarily increases your armor by 50%|暂时增加你50%的护甲|一時的にアーマーが50％増加します。|일시적으로 방어력을 50% 증가시킵니다.|Erhöht vorübergehend Ihre Rüstung um 50%.
effect_def_desc_21|Grants you temporary invisibility|Antaa sinulle tilapäisen näkymättömyyden|Concede a você invisibilidade temporária|Grants you temporary invisibility|赋予你暂时的隐身能力|一時的に透明になります。|일시적으로 투명화됩니다.|Gewährt Ihnen vorübergehende Unsichtbarkeit
effect_def_desc_22|Temporarily increases your max resistance cap by 6%|Lisää tilapäisesti maksimiresistanssikapasiteettiasi 6%:lla|Aumenta temporariamente seu limite máximo de resistência em 6%.|Temporarily increases your max resistance cap by 6%|暂时增加你的最大阻力上限6%。|一時的に最大抵抗値の上限が6%増加します。|일시적으로 최대 저항 상한선이 6% 증가합니다.|Erhöht vorübergehend Ihre maximale Widerstandsgrenze um 6 %.
effect_def_desc_23|Rains meteors down upon your enemies when you use an active skill|Sataa meteoreja vihollistesi päälle, kun käytät aktiivista taitoa.|Chove meteoros sobre os seus inimigos quando você utiliza uma habilidade ativa|Rains meteors down upon your enemies when you use an active skill|当你使用主动技能时，向你的敌人倾泻流星。|アクティブスキル使用時に、敵に隕石を降らせる。|액티브 스킬 사용 시 적에게 유성을 내립니다.|Regnet Meteore auf Ihre Feinde herab, wenn Sie eine aktive Fertigkeit verwenden
effect_def_desc_24|Turns your auto attacks into bursts for the duration of the effect|Muuttaa automaattiset hyökkäyksesi purskeiksi vaikutuksen keston ajaksi.|Transforma seus ataques básicos em rajadas pela duração do efeito|Turns your auto attacks into bursts for the duration of the effect|在效果持续期间，将你的自动攻击变成连击。|効果時間中、自分のオートアタックをバースト状態にする|효과 지속 시간 동안 기본 공격을 버스트 샷으로 전환합니다.|Verwandelt Ihre Auto-Angriffe für die Dauer des Effekts in Bursts
effect_def_desc_25|Health Recovery|Terveyden palautuminen|Recuperação da Saúde|Health Recovery|健康恢复|健康回復|체력 회복|Gesundheit Genesung
effect_def_desc_26|Speed Boost|Nopeus Boost|Aumento de Velocidade|Speed Boost|速度提升|スピードアップ|스피드 부스트|Geschwindigkeits-Boost
effect_def_desc_27|Mana Recovery|Manan palautus|Recuperação de Mana|Mana Recovery|法力恢复|マナ回復|마나 회복|Mana-Wiederherstellung
effect_def_desc_28|Rejuvenation|Nuorentaminen|Rejuvenescimento|Rejuvenation|恢复活力|リジュベネーション|원기 회복|Verjüngung
effect_def_desc_29|Shielding|Suojaus|Blindagem|Shielding|屏蔽|シールド|보호|Abschirmung
effect_def_desc_30|Cleansing|Puhdistus|Limpeza|Cleansing|洁净|クレンジング|정화|Reinigen
effect_def_desc_31|Temporarily grants you 400% magic find on use|Antaa sinulle tilapäisesti 400% taikavoiman löydön käytön yhteydessä.|Concede temporariamente 400% de achado mágico no uso|Temporarily grants you 400% magic find on use|使用时暂时给予你400%的魔法发现。|使用時に一時的に400%の魔力発見を付与する。|사용 시 일시적으로 400% 마법 발견을 부여합니다.|Gewährt Ihnen bei Gebrauch vorübergehend 400% Magiefund
effect_def_desc_32|5% chance on hit that spills high damage coffee everywhere which makes the user very angry|5% mahdollisuus osumasta, joka roiskii korkeaa vahinkoa aiheuttavaa kahvia kaikkialle, mikä tekee käyttäjän hyvin vihaiseksi.|5% de chance no acerto de espirrar café de alto dano para todos os lados que deixam o usuário muito irritado|5% chance on hit that spills high damage coffee everywhere which makes the user very angry|5%的几率命中，使高伤害的咖啡洒得到处都是，这让使用者非常生气。|ヒット時に5%の確率で、高ダメージのコーヒーをどこにでもこぼし、ユーザーを激怒させる。|적중 시 5%의 확률로 높은 데미지의 커피를 사방에 쏟아 사용자를 매우 화나게 합니다.|5 % Chance bei einem Treffer, dass Kaffee mit hohem Schaden überall verschüttet wird, was den Benutzer sehr wütend macht
effect_def_desc_33|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained|Become filled with Unworldly Knowledge increasing your experience gained
||||||||
unholy_possession|Lost Anomaly|Lost Anomaly|Lost Anomaly|Lost Anomaly|Lost Anomaly|Lost Anomaly|Lost Anomaly|Lost Anomaly
