[npc]|en|fi|pt|ru|zh|ja|ko|de
halloween_line_8|Jack The Ripper. More like Jack The Rip off! I can't believe someone would actually sell stuff to him. And he offers a 'service' where he takes you relics. Oh, you've done those things? Aaaawkwaaaaaard...|Viiltäjä-Jack. Enemmänkin Huijari-Jack. En voi kuvitella, että joku myisi tavaraa hänelle. Ja hän tarjoaa 'palvelua', jossa hän vie aarteet. Häh, sinä olet tehnyt noit asioita? Tulipas tästä kiusallista...|Jack o Estripador. Mais como Jack, o roubo! Não acredito que alguém realmente venderia coisas para ele. E ele oferece um 'serviço' onde leva as relíquias. Oh, você já fez essas coisas? Quão estranho isso se tornou...|Джек Потрошитель? Скорее, ЖЕК Вредитель. Не могу поверить, что кто-то  действительно отдает ему свои вещи. Предлагает услугу, оставляет тебя без реликвий... Чо? И ты туда же!?... Странные вы все...|开膛手杰克。 更像杰克撕裂！ 我不敢相信有人 会卖东西给他。 并且他提供了一种 “服务”， 将您带走的文物带给您。 哦， 你做了这些事吗？ 这变得多么尴尬...|切り裂きジャック。 ジャック・ザ・リッピ ングのようなものです！ 誰かが実際に彼 に物を売るなん て信じられない。 そして彼はあなたに 遺物を連れて行く 「サービス」 を提供します。 ああ、 あなたはそれらの ことをしましたか？ これはどれほど厄介 なものになりました...|잭 더 리퍼. 잭 더 찢어 버리는 것처럼! 나는 누군가가 실제로 물건을 팔 것이라고 믿을 수 없다. 그리고 그는 당신에게 유물을 가져다주는 '서비스'를 제공합니다. 오, 그거 했어요? 이것이 얼마나 어색한가...|"Jack the Ripper. Eher wie Jack Die Abzocke! Ich kann nicht glauben, dass jemand ihm tatsächlich Sachen verkaufen würde. Und er bietet einen ""Dienst"" an, bei dem er Ihnen Relikte bringt. Oh, du hast diese Dinge getan? Wie umständlich ist das geworden..."
||||||||
quest_halloween_1|Hello there beauty... Would you kindly help me with something? Oh, aren't you as sweet as a pumpkin pie!|Hei kaunokainen... Olisitko kiltti ja auttaisit minua yhden asian kanssa? Sinähän olet herttainen kuin kurpitsapiiras!|Olá beleza... Você poderia me ajudar com alguma coisa? Oh, você não é tão doce quanto uma torta de abóbora!|Привет, милашка... Поможешь мне с одним делом?|你好美... 请你把和帮助我的东西？ 哦， 是不是你甜如南瓜派！|こんにちは美... う、 あなたはそこに親切にすると何かのヘルプを私に？ ああ、 あなたはパンプキンパイのように甘いようではありません！|안녕하세요 아름다움... 겠습니까 당신이 도움이 내게 뭔가 친절하고? 오, 당신은 호박 파이 달콤한으로하지 않습니다!|Hallo es Schönheit... würden Sie Art und helfen Sie mir mit etwas? Oh, bist du nicht so süß wie ein Kürbiskuchen!
quest_halloween_2|All girls want a present every now and then. Would you kindly get me one?|Kaikki tytöt haluavat lahjan silloin tällöin. Voisitko hankkia minulle sellaisen?|Todas as meninas querem um presente de vez em quando. Você poderia me dar um?|Всем девчонкам нравится иногда получать подарки. А ты мне что-нибудь подаришь?|所有女孩都希望礼物飘飞。 你会得到我吗？|すべての女の子は、 すべての今して存在を求めています。 あなたは私のものを得るだろうか？|모든 여자는 모든 이제 다음 선물을합니다. 당신은 나에게 하나를 얻을 것인가?|Alle Mädchen wollen ein Geschenk ab und zu. Würden Sie bekommen mich ein?
quest_halloween_3|I'm sick of those chickens. I can hear them all the way from the frozen land. Pluck their feathers for me, I have an idea.|Olen kyllästynyt noihin kanoihin. Voin kuulla ne jäätyneestä maasta asti. Höyhennä ne puolestani, minulla on idea.|Estou farto dessas galinhas. Eu posso ouvi-los desde a terra congelada. Arranque suas penas para mim, tenho uma ideia.|Как же мне надоели эти курицы... А? Ну курицы! Мне отсюда слышно, как они там на Морозных Землях кудахчут да орут во всё горло! Слушай, а сходи-ка нащипай мне куриных перьев, у меня есть одна идея...|我生病的鸡。 我能听到他们从冷冻土地的所有道路。 摘下自己的羽毛对我来说， 我有一个想法。|私はそれらの鶏の病気です。 私は彼らに凍結された土地からすべての方法を聞くことができます。 私のために彼らの羽を摘み取る、 私はアイデアを持っています。|나는 그 닭의 병입니다. 나는 얼어 붙은 땅에서 모든 방법을들을 수 있습니다. 나를 위해 자신의 깃털을 뽑아, 나는 생각이 있어요.|Ich bin krank von diesen Hühnern. Ich kann sie den ganzen Weg aus dem gefrorenen Boden hören. Zupfen ihre Federn für mich, ich habe eine Idee.
quest_halloween_4|Don't you just hate Grim Reaper? He takes care of the dead but now he is trying to control the living. Go show him who is the boss!|Etkö vain vihaa Viikatemiestä? Se pitää huolta kuolleista, mutta nyt se yrittää hallita eläviä. Näytä sille kuka on pomo!|Você não odeia o Ceifador? Ele cuida dos mortos, mas agora ele está tentando controlar os vivos. Vá mostrar quem é o chefe!|Слушай, ты же ненавидишь Смерть? Знаю, она хранит порядок в царстве мертвых, но теперь она хочет захватить и мир живых! Иди и покажи ей, кто тут главный!|你不只是讨厌的死神？ 他照顾死者， 但现在， 他正试图控制生活。 去告诉他谁是老大！|あなただけの死神を憎むないのですか？ 彼は死んだの世話をするが、 今、 彼は生活をコントロールしようとしています。 ゴーは上司が誰であるか、 彼を見ます！|당신은 단지 죽음의 신 싫어하지? 그는 죽음을 담당하지만 지금은 생활을 제어하기 위해 노력하고있다. 이동 보스 누가 그를 보여!|Nicht nur Sie den Sensenmann hassen? Er kümmert sich um die Toten, aber jetzt ist er versucht, das Leben zu steuern. Gehen Sie ihm zeigen, wer hier der Chef ist!
quest_halloween_5|A lot of interesting creatures live in the desert. I want to study what I could do with them. Or with their body parts, hehe.|Paljon mielenkiintoisia otuksia elää aavikolla. Haluan tutkia mitä voin tehdä niiden kanssa. Tai niiden ruumiin osilla, hehe.|Muitas criaturas interessantes vivem no deserto. Eu quero estudar o que eu poderia fazer com eles. Ou com as partes do corpo, hehe.|Множество интересных созданий обитает в пустыне. Хотелось бы изучить их полностью... ну или по частям... хе-хе...|很多有趣的动物生活在沙漠中。 我想学什么， 我可以与他们无关。 或者用他们的身体部位， 嘿嘿。|面白い生き物の多くは砂漠に住んでいます。 私は彼らと何ができるか勉強したいです。 それとも自分の体の部分と、 笑。|재미있는 생물의 많은 사막에 살고 있습니다. 나는 그들과 함께 무엇을 할 수 있는지 연구하고 싶다. 또는 자신의 신체 부위와, 도니는 다르게.|Viele interessante Geschöpfe leben in der Wüste. Ich möchte studieren, was ich mit ihnen machen könnte. Oder mit ihren Körperteilen, hehe.
quest_halloween_6|Another lord of Death is threatening me. Can you believe that?! I'm just a young beautiful lady. Will you help a lady in need?|Toinenkin kuoleman herra uhkailee minua. Voitko uskoa?! Olen vain nuori kaunis neito. Autatko tätä neitoa avun tarpeessa?|Outro senhor da morte está me ameaçando. Você acredita nisso ?! Eu sou apenas uma jovem bonita. Você vai ajudar uma dama em necessidade?|Еще один Владыка Смерти мне тут угрожает. Поверить не могу! Ты же не оставишь леди в беде?|死亡的另一个主恐吓我。 你相信吗？！ 我只是一个年轻美丽的女人。 你会帮助有需要的女士？|死のもう一つの主が私を脅かしています。 あなたはそれを信じることができます！ 私は若く美しい女性です。 あなたは必要としている女性を助けるだろうか？|죽음의 또 다른 주인은 저를 위협하고있다. 믿을 수 있니?! 난 그냥 젊은 아름 다운 여자입니다. 당신이 필요로하는 여성을 도울 것인가?|Ein anderer Herr des Todes bedroht mich. Kannst du das glauben?! Ich bin nur eine junge schöne Dame. Werden Sie eine Dame in Not helfen?
quest_halloween_7|Damien approached me and it sounded like thousand heads were yelling at me. I have something for you to shut those heads up!|Damien lähestyi minua ja se kuulosti siltä kuin tuhat päätä olisi huutanut minulle. Minulla on sinulle jotain, jolla tukkia ne päät!|Damien se aproximou de mim e parecia que milhares de cabeças estavam gritando comigo. Eu tenho algo para você calar a boca!|Дэмиен мне окружил... казалось, тысячи голов кричали на меня!... Вот, у меня есть кое-что, что поможет его заткнуть.|达米安走近我， 这听起来像万头都在我吼。 我有东西给你关闭那些头了！|ダミアンは私に近づき、 私に叫んでたことは千頭のように聞こえました。 私はあなたがそれらの頭を黙ら せのために何かを持っています！|데미안이 나에게 접근과 천과 같은 머리 소리지르 된 소리가났다. 나는 당신이 그 머리를 종료 할 뭔가가있다!|Damien kam auf mich zu und es klang wie tausend Köpfe mich brüllten. Ich habe etwas für Sie, diese Köpfe oben schließen!
daily_quest_next|Next quest will be available in|||||||
||||||||
haldor_400_1|Heil! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.|Heill! You make quite an entrance my friend! You must be seeking the legendary halls of Valhalla, just like me.
haldor_400_2|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the outskirts who carries a key. Will you join me to find her and see if she's willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?|There is just one teensy tiny problem, the gate is locked for some reason or the other. However, I've heard there's an actual Valkyrie in the Plains of Ida ahead who carries a key. Will you join me to find her and see if shes willing to let us in?
haldor_400_3|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...|Phew! That was... Quite a hike...
haldor_401|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!|Let me catch my breath real quick, you go on ahead and see if you can find that Valkyrie!
haldor_talk|Hail the Allfather!|||||||
valhalla_hungry_haldor|One more thing! You just got here so you must be hungry! I have a small campfire right here, and I think you should eat something. There is a rumor of a Legendary Boar roaming around here, see if you can slay him for food!|||||||
valhalla_hungry_haldor_1|By Odin’s beard, that is a good looking beef! Care to share some, traveler?|||||||
||||||||
valhalla_hurrdurr_1|Hi! You! Yes, you! My name is Hurrdurr and I love riding my mining cart all over the place. Some mean vikings just stole the wheels of my cart, can you believe that? Help me find and attach them back to my cart so I can go fast!|||||||
valhalla_hurrdurr_2|Nice, with wheelz on this bad boy nothing is ever going to stop me!|||||||
||||||||
valhalla_baldur_muspelheim_1|Questii tarjolla!|||||||
valhalla_baldur_muspelheim_2|Questi ois valamis!|||||||
||||||||
valhalla_froya_scales_1|Hej! I've been trying to combat these Nagas to clear out these flooded plains for rebuilding. These creatures are tough and I'd need to match that. Could you collect me some Naga scales so I can craft myself a proper armor to have a fighting chance?|||||||
valhalla_froya_scales_2|Your efforts are much appreciated. Once I craft this armor I'll be able to slay these Naga snakes like there is no tomorrow!|||||||
||||||||
valhalla_tired_viking_1|Hey you! Please… the sickness… of this land… it got me. I am weak… too weak to continue my journey. I… have a recipe… for healing potion.. Could you… help *cough cough* me? |||||||
valhalla_tired_viking_2|You…. You came back! I can not thank you enough… Praise the old gods!|||||||
valhalla_tired_transform_1|[shake_letter][c_lime]*Chug chug chug*... I can feel it working!|||||||
valhalla_tired_transform_2|[shake_letter][c_yellow]I feel strange...|||||||
valhalla_tired_transform_3|[shake_letter][c_red]The darkness comes for you too!|||||||
||||||||
||||||||
pe_402_1|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!|[font_combat][shake_letter][c_red]FOOLISH MORTAL!
pe_402_2|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.|Know that it was you who freed me from my prison.[pause,15] [pause,0][nl]As I have taken the form of [c_lime]Odin[c_reset], I shall grant you the pleasure of seeing your own afterlife in ruins before your ultimate demise.
pe_402_3|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...|Everything you've ever loved will be obliterated as the prophecy unfolds[pause,15]...
pe_404|I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,15] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] |I have denied Valhalla from you, as you shall deny Helheim from these filthy pests.[pause,15] [pause,0][nl]You are only human, your mind will break and your body will follow.[pause,30] 
odin_boss_intro|There is no denying fate.[pause,15] [pause,0][nl]It was written that one day I shall rule the afterlife as I please, and that you'd be the catalyst for my reign.[pause,15] [pause,0][nl]Today you have fulfilled your part in the plan of the ancients and I have no further use for you.[pause,30] [pause,0][nl]You are hereby banished from death![pause,30] [pause,0]|||||||
astrid_403|Hey, where did you come from?|Hey, where did you come from?|Hey, where did you come from?|Hey, where did you come from?|Hey, where did you come from?|Hey, where did you come from?|Hey, where did you come from?|Hey, where did you come from?
astrid_404_1|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him 'till the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...|From Valhalla you say? You must be really strong and brave then! As this is our last stop before finally arriving to Helheim and eternal peace, I have to ask if you'd be able to find my sons toy bear on our trail. He would be devastated if it didn't accompany him ‘til the end...
astrid_404_2|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.|Thank you hero! Now we may all rest in peace.
helheim_npc_portal|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...|This portal will take us close to river Gjöll. It's almost ready, I just need a few more moments to channel it… Please excuse me, I have to concentrate my power to the portal...
helheim_npc_elder|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.|Tomorrow we shall continue to river Gjöll, towards the gates of Helheim.
helheim_npc_child|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.|I'm so excited to finally see Helheim! My parents said they can finally rest and play with me then.
helheim_npc_anxious|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...|I'm done with these perilous caves and creatures… I was hoping death would be the end...
helheim_npc_peaceful|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?|Ah, will you join me and enjoy this moment of respite?
helheim_npc_wood|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.|I used to be a lumberjack... And I still am! There's nothing more relaxing than chopping up some wood.
ferryman_405|Well hello there!|Well hello there!|Well hello there!|Well hello there!|Well hello there!|Well hello there!|Well hello there!|Well hello there!
ferryman_406_1|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...|I was worried nobody would accompany me cross the river today. Lately there have been more folks than my ol' boat can carry. Didn't you see any of those poor souls on your way? Nevermind, you must been keen on getting to rest already. Let me cross you over your final obstacle...
ferryman_406_2|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...|This is it, the gate of Helheim. I hope you enjoy your stay. As if you had a choice...
ferryman_idle_1|Row, row, row your boat...|Row, row, row your boat...|Row, row, row your boat...|Row, row, row your boat...|Row, row, row your boat...|Row, row, row your boat...|Row, row, row your boat...|Row, row, row your boat...
ferryman_idle_2|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...|I'll just hang here a while, you go on and do your thing...
ferryman_lets_go|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!|Just hop on and we'll be on our way!
ferryman_intro_1|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!|Mind the sign, no swinging weapons on this ride!
ferryman_intro_2|Just basic protocol...|Just basic protocol...|Just basic protocol...|Just basic protocol...|Just basic protocol...|Just basic protocol...|Just basic protocol...|Just basic protocol...
ferryman_intro_3|GAAAH!!|GAAAH!!|GAAAH!!|GAAAH!!|GAAAH!!|GAAAH!!|GAAAH!!|GAAAH!!
ferryman_intro_4|SHOOT IT!|SHOOT IT!|SHOOT IT!|SHOOT IT!|SHOOT IT!|SHOOT IT!|SHOOT IT!|SHOOT IT!
ferryman_intro_5|KILL IT WITH FIRE!|KILL IT WITH FIRE!|KILL IT WITH FIRE!|KILL IT WITH FIRE!|KILL IT WITH FIRE!|KILL IT WITH FIRE!|KILL IT WITH FIRE!|KILL IT WITH FIRE!
ferryman_game_1|What are those things??|||||||
ferryman_game_2|They sure are ugly!|||||||
ferryman_game_3|Watch out!|||||||
ferryman_game_4|Nice shot!|||||||
ferryman_game_5|Do they never end??|||||||
ferryman_game_boss_1|Do you hear that?|||||||
ferryman_game_boss_2|Sweet mother of Baldr!|||||||
ferryman_game_end|Good job! Now let's get out of here!|||||||
valhalla_troll_patrol_start|Hello there hero! Could I have a minute of your time? |||||||
valhalla_troll_patrol_yes|Great, we have a small shelter here by the rocks, can you come with me, I'll show you. We can talk safely there. |||||||
valhalla_troll_patrol_no|Oh okay, perhaps another time then... |||||||
valhalla_troll_patrol_complete|Thank you so much, you can not imagine what help you brought to us... Our chances at surviving this place just got bigger! |||||||
valhalla_troll_patrol_trolls|Trolls! They are on to us!|||||||
valhalla_troll_patrol_killed|That was a close one... I can not thank you enough, hero. |||||||
valhalla_troll_patrol_one_more|Do you recon we could get one more load? |||||||
bounty_board_empty|It's empty... Maybe you should check back later?|||||||
bounty_board_multiple|There are multiple bounties listed. Which one would you like to see?|||||||
odin_good_quest|Is it over? For a moment I thought Valhalla was truly lost.|||||||
odin_good_common|Thank you hero. The nine realms are ever in your debt.|||||||
troll_patrol_room_astrid|Praise be!|||||||
troll_patrol_room_npc1|Boy I sure hope nothing bad will happen to us later.|||||||
troll_patrol_room_npc2|Have you heard about Hurrdurr?|||||||
troll_patrol_room_npc5|Boy I sure hope nothing bad will happen to us later.|||||||
||||||||
valkyrie_gate_stones|Maybe the gate is connected to the stone platforms...|||||||
valkyrie_gate_haldor|Maybe I should talk to Haldor first?|||||||
||||||||
tutorial_sign_1_mobile|You can attack by pressing the right side of the screen.|Voit hyökätä painamalla ruudun oikeaa puolta.|Toque o lado direito da tela para atacar.|Нажмите и удерживайте на правую часть экрана, чтоб атаковать.|您可以按屏幕右侧进行攻击。|画面の右側を押すと攻撃できます。|화면의 오른쪽을 눌러 공격 할 수 있습니다.|Du kannst angreifen, indem du die rechte Seite des Bildschirms berührst.
